word
vossos
minha
outro
muitas
elas
certos
ti
certas
algum
muito
qualquer
vossa
algumas
nada
else
minhas
muitos
poucos
cujas
eles
vossas
nenhumas
tantos
outra
tanto
algo
alguma
pouco
eu
muita
toda
varios
quais
ninguem
pouca
meu
mim
ela
tanta
outrem
alguns
quanta
todos
tantas
tu
cujos
quantos
cujo
poucas
meus
certo
nenhum
quaisquer
certa
ele
vosso
varias
si
quantas
cada
nenhuns
cuja
nenhuma
outras
todas
quanto
alguem
outros
todo
